City,Agency,Location,Suite,Telephone,License Tags Available?,License Mailers Available?,Notes
Seattle,PAWS Cat City,"5200 Roosevelt Way NE
Seattle, WA 98105
(47.666636, -122.317071)",Ste B,206-782-1700,Y,N,
Clyde Hill,Clyde Hill City Hall,"9605 NE 24th St
Clyde Hill, WA 98004
(47.63195529427304, -122.21207861018217)",,425-453-7800,Y,N,
Bothell,Worthington Licensing Agency,"11035 NE 183rd St
Bothell, WA 98011
(47.761176788915854, -122.20157573456328)",,425-481-1714,Y,N,
Kirkland,QFC #838,"14130 Juanita Dr NE
Kirkland, WA 98034
(47.728797536961444, -122.2442861070514)",,425-821-4885,Y,N,
Renton,Black River Community Service Center,"919 SW Grady Way
Renton, WA 98057
(47.468602440870995, -122.23050571856254)",,206-296-7810,Y,N,
Renton,QFC #871,"4800 NE Fourth St
Renton, WA 98059
(47.48852790422517, -122.15461129503996)",,425-226-7086,Y,N,
Kent,Maleng Regional Justice Center Licensing Office,"401 Fourth Ave N
Kent, WA 98032
(47.38412590818828, -122.23745296865727)",Ste 1C,206-205-7330,Y,N,
Kent,Centennial Center,"400 W Gowe St
Kent, WA 98032
(47.380836581163116, -122.23611922746286)",,253-856-5200,Y,N,
North Bend,North Bend City Hall,"211 Maine Ave N
North Bend, WA 98045
(47.495734986494995, -121.78490963948497)",,425-888-7628,Y,N,
Shoreline,Shoreline City Hall,"17500 Midvale Ave N
Shoreline, WA 98133
(47.75633153092525, -122.34432391459075)",,206-801-2230,Y,N,
Maple Valley,QFC #837,"22131 SE 237th St
Maple Valley, WA 98038
(47.38911136670117, -122.04526336696733)",,425-432-9961,Y,N,
Seattle,QFC #858,"1531 NE 145th St
Seattle, WA 98155
(47.733905691619384, -122.31191053154113)",,206-363-5717,Y,N,
Lynnwood,Progressive Animal Welfare Society (PAWS),"15305 44th Ave W
Lynnwood, WA 98046
(47.85975356429475, -122.2926668572278)",,425-412-4029,Y,N,
Sammamish,QFC #824,"2902 228th Ave SE
Sammamish, WA 98075
(47.584106741226115, -122.03544347804511)",,425-391-4680,Y,N,
Kent,King County Pet Adoption Center,"21615 64th Ave S
Kent, WA 98032
(47.407781292029426, -122.25475144047249)",,206-296-7387,Y,N,
Seattle,King County Administration Building,"500 Fourth Ave
Seattle, WA 98104
(47.60314101645429, -122.33013261296838)",Ste 401,206-296-7387,Y,N,
Newcastle,Newcastle City Hall,"12835 Newcastle Way
Newcastle, WA 98056
(47.53855170830997, -122.16833558667707)",Ste 200,425-649-4444,Y,N,
Issaquah,QFC #821,"1540 NW Gilman Blvd
Issaquah, WA 98027
(47.54573729132409, -122.06003023468844)",,425-392-4475,Y,N,
Shoreline,QFC #816,"600 NW Richmond Beach Rd
Shoreline, WA 98177
(47.76513589359212, -122.36469355855439)",,206-546-5129,Y,N,
Woodinville,Woodinville License Agency,"17403 139th Ave NE
Woodinville, WA 98072
(47.753897313822, -122.15413890415192)",,425-486-0677,Y,N,
Duvall,Duvall City Hall,"15535 Main St
Duvall, WA 98019
(47.740701314056025, -121.98615092998148)",,425-788-1185,Y,N,
Issaquah,Issaquah City Hall Northwest,"1775 12th Ave NW
Issaquah, WA 98027
(47.549901, -122.058138)",,425-837-3403,Y,N,
Snoqualmie,Sno-Falls License Agency,"9025 Meadowbrook Way SE
Snoqualmie, WA 98065
(47.51925225756116, -121.81716832067599)",,425-888-8705,Y,N,
Mercer Island,Mercer Island City Hall,"9611 SE 36th St
Mercer Island, WA 98040
(47.577915033532406, -122.21003714917566)",,206-275-7783,Y,N,
Kirkland,QFC #809,"211 Park Place Center
Kirkland, WA 98033
(47.67617000014553, -122.19228999998336)",,425-827-2205,Y,N,
Bellevue,QFC #826,"15600 NE Eighth St
Bellevue, WA 98008
(47.617036405265765, -122.13233275808146)",,425-865-0282,Y,N,
North Bend,QFC #829,"460 E North Bend Way
North Bend, WA 98045
(47.49264131871422, -121.78156416153598)",,425-888-1682,Y,N,
SeaTac,SeaTac City Hall,"4800 S 188th St
SeaTac, WA 98188
(47.434189366895225, -122.27438948490669)",,206-973-4800,Y,N,
Kenmore,Kenmore City Hall,"18120 68th Ave NE
Kenmore, WA 98028
(47.760666263106486, -122.24960731846488)",,425-398-8900,Y,N,
Woodinville,Woodinville City Hall,"17301 133rd Ave NE
Woodinville, WA 98072
(47.75287813433272, -122.16150973247466)",,425-489-2700,Y,N,
Bellevue,QFC #859,"2636 Bellevue Way NE
Bellevue, WA 98004
(47.633753938331665, -122.20161050176114)",,425-822-4154,Y,N,
Kent,Kent License Office,"331 S Washington St
Kent, WA 98032
(47.38328491449, -122.24748869425204)",,253-852-3110,Y,N,
Newcastle,QFC #827,"6940 Coal Creek Pkwy SE
Newcastle, WA 98059
(47.53887614352962, -122.16595978871459)",,425-747-9599,Y,N,
Yarrow Point,Yarrow Point Town Hall,"4030 95th Ave NE
Yarrow Point, WA 98004
(47.6475505428958, -122.2142062620886)",,425-454-6994,Y,N,
Bellevue,Bellevue City Hall,"450 110th Ave NE
Bellevue, WA 98004
(47.614229657075555, -122.19352559671773)",,425-452-6800,Y,N,
Enumclaw,QFC #863,"1009 Monroe St
Enumclaw, WA 98022
(47.19953922919592, -121.9901621579816)",,360-825-5155,Y,N,
Auburn,Auburn License Agency,"124 Auburn Way N
Auburn, WA 98002
(47.30908969253409, -122.22585622367109)",,253-833-9696,Y,N,
Bellevue,QFC #822,"3550 Factoria Blvd
Bellevue, WA 98006
(47.5790169665496, -122.16897560231905)",,425-643-7110,Y,N,
Redmond,City of Redmond,"15670 NE 85th St
Redmond, WA 98052
(47.67858514149225, -122.13097774957993)",,425-556-2145,Y,N,
Shoreline,Seattle Area Feline Rescue,"14717 Aurora Ave N
Shoreline, WA 98133
(47.735652, -122.34583)",,206-659-6220,Y,N,
Maple Valley,Maple Valley City Hall,"22017 SE Wax Rd
Maple Valley, WA 98038
(47.39260101571486, -122.04716238684507)",Ste 200,425-413-8800,Y,N,
Enumclaw,Enumclaw City Hall,"1339 Griffin Ave
Enumclaw, WA 98022
(47.20420048173778, -121.99096723087744)",,360-825-3591 x5605,Y,N,
Snoqualmie,Snoqualmie City Hall,"38624 SE River St
Snoqualmie, WA 98065
(47.52686052192905, -121.82556798842967)",,425-888-1555,Y,N,
Mercer Island,QFC #806,"8421 SE 68th St
Mercer Island, WA 98040
(47.5419969232159, -122.2265734702506)",,206-232-0102,Y,N,
Shoreline,Shoreline Storefront East,"521 NE 165th St
Shoreline, WA 98155
(47.7485225603632, -122.32364186136364)",,206-363-8424,Y,N,
Issaquah,Issaquah Community Service Center,"5415 220th Ave SE
Issaquah, WA 98029
(47.553458, -122.04797)",,206-477-2169,Y,N,
Redmond,QFC #820,"15800 Redmond Way NE
Redmond, WA 98052
(47.67482597540982, -122.12794703434116)",,425-885-2311,Y,N,
Kent,Reber Ranch,"28606 132nd Ave SE
Kent, WA 98042
(47.34490235760917, -122.16542130018702)",,253-630-3330,Y,N,
Kirkland,Eastside Auto License Agency,"12006 NE 85th St
Kirkland, WA 98033
(47.679316024849605, -122.18039242307391)",,425-828-4661,Y,N,
Issaquah,Issaquah City Hall,"130 E Sunset Way
Issaquah, WA 98027
(47.53012506089544, -122.0339768754996)",,425-837-3000,Y,N,
Burien,Burien City Hall,"400 SW 152nd St
Burien, WA 98166
(47.46686674935444, -122.33935066376876)",Ste 300,206-241-4647,Y,N,
Sammamish,Sammamish City Hall,"801 228th Ave SE
Sammamish, WA 98075
(47.60151324358128, -122.03555068905092)",,425-898-0660,Y,N,
Shoreline,Shoreline Community Service Center,"18050 Meridian Ave N
Shoreline, WA 98133
(47.761019, -122.333879)",,206-477-2723,Y,N,
Lake Forest Park,Lake Forest Park City Hall,"17425 Ballinger Way NE
Lake Forest Park, WA 98155
(47.754272083478156, -122.27745932171229)",,206-368-5440,Y,N,
Bellevue,QFC #874,"1510 145th Pl SE
Bellevue, WA 98007
(47.597362985917364, -122.15067054538201)",,425-653-2162,Y,N,
Bellevue,Bellevue Mini City Hall,"15600 NE Eighth St
Bellevue, WA 98009
(47.617036405265765, -122.13233275808146)",Ste H-9,425-452-2800,Y,N,Check or Money Order Only
Carnation,Carnation City Hall,"4621 Tolt Ave
Carnation, WA 98014
(47.64887154164421, -121.91364758797931)",,425-333-4192,Y,N,
Redmond,QFC #878,"23475 NE Novelty Hill Rd
Redmond, WA 98053
(47.700006992230215, -122.02595492299827)",,425-636-0420,Y,N,
Kirkland,QFC #828,"11224 NE 124th St
Kirkland, WA 98034
(47.711234823170415, -122.19154679683147)",,425-821-8502,Y,N,
Bellevue,Aerowood Animal Hospital,"2975 156th Ave SE
Bellevue, WA 98007
(47.58232171147597, -122.13398148515779)",,425-746-6557,Y,N,
Redmond,Marymoor Park,"6046 W Lake Sammamish Pkwy NE
Redmond, WA 98052
(47.662630253028176, -122.12649936999868)",,206-296-0673,Y,N,
Covington,Covington City Hall,"16720 SE 271st St
Covington, WA 98042
(47.35899307193995, -122.11782066829124)",Ste 100,253-638-1110,Y,N,
Issaquah,QFC #840,"4570 Klahanie Dr SE
Issaquah, WA 98029
(47.566747640490924, -122.00660896310622)",,425-392-2776,Y,N,
Kent,QFC #803,"13304 SE 240th St
Kent, WA 98031
(47.386953857289654, -122.1654398596749)",,253-630-3560,Y,N,
Kirkland,Kirkland City Hall,"123 Fifth Ave
Kirkland, WA 98033
(47.67883695166046, -122.20632294919466)",,425-587-3100,Y,N,
Bellevue,QFC #808,"10116 NE Eighth St
Bellevue, WA 98004
(47.61749464442977, -122.2055861284094)",,425-455-0870,Y,N,
Mercer Island,QFC #839,"7823 SE 28th St
Mercer Island, WA 98040
(47.585451352137966, -122.23285294905901)",,206-230-0745,Y,N,
Redmond,Old Redmond School House Community Center,"16600 NE 80th St
Redmond, WA 98052
(47.674870941511244, -122.11889985472641)",,425-556-2300,Y,N,
Covington,Valley Vehicle Licensing,"27331 172nd Ave SE
Covington, WA 98042
(47.35655960096882, -122.1124696900304)",Ste 116,253-630-7090,Y,N,
Tukwila,Tukwila City Hall,"6200 Southcenter Blvd
Tukwila, WA 98188
(47.46241510530945, -122.25538096589298)",,206-433-1800,Y,N,
Black Diamond,Black Diamond City Hall,"24301 Roberts Dr
Black Diamond, WA 98010
(47.31216537387428, -122.0189402111697)",,360-886-5700,Y,N,
Redmond,QFC #860,"8867 161st Ave NE
Redmond, WA 98052
(47.68111844774748, -122.12558624083692)",,425-869-8006,Y,N,
